D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_544.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_544.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_544.jpg,0,0,0,2.338451E-06
D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_612.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_612.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_612.jpg,0,0,0,1.99546E-05
D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_680.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_680.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_680.jpg,0,0,0,3.452234E-06
D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_747.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_747.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_747.jpg,0,0,0,4.957601E-06
D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_816.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_816.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_816.jpg,0,0,0,9.8553E-06
D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_885.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_885.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_885.jpg,0,0.1233171,0,0.06832542
D:\Self Driving Car\IMG\center_2023_09_19_11_11_06_956.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_06_956.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_06_956.jpg,0,0.360516,0,0.2562774
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_026.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_026.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_026.jpg,0,0.5427995,0,0.6217768
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_095.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_095.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_095.jpg,0,0.7773388,0,1.228028
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_163.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_163.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_163.jpg,0,0.966352,0,1.893597
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_231.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_231.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_231.jpg,0,1,0,2.628266
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_301.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_301.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_301.jpg,0,1,0,3.564607
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_370.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_370.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_370.jpg,0,1,0,4.269802
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_439.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_439.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_439.jpg,0,1,0,5.201122
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_508.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_508.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_508.jpg,-0.15,1,0,5.890875
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_579.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_579.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_579.jpg,-0.35,1,0,6.788643
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_649.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_649.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_649.jpg,-0.5000001,1,0,7.44371
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_721.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_721.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_721.jpg,-0.7,1,0,8.288479
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_789.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_789.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_789.jpg,0,1,0,8.883556
D:\Self Driving Car\IMG\center_2023_09_19_11_11_07_860.jpg,D:\Self Driving Car\IMG\left_2023_09_19_11_11_07_860.jpg,D:\Self Driving Car\IMG\right_2023_09_19_11_11_07_860.jpg,0,1,0,9.719696
